Title,Business,Loc,url,Page,date
Threat Analyst 1,Sophos,Canada,https://ca.linkedin.com/jobs/view/threat-analyst-1-at-sophos-4295949849,LinkedIN,2025-09-06
"Manager, Data Protection",Netflix,United States,https://www.linkedin.com/jobs/view/manager-data-protection-at-netflix-4294497657,LinkedIN,2025-09-06
Information Security Analyst,Prana Comunicación,United States,https://www.linkedin.com/jobs/view/information-security-analyst-at-prana-comunicaci%C3%B3n-4293443531,LinkedIN,2025-09-06
CAS | Analista de Segurança da Informação JR,Sicredi,Brazil,https://br.linkedin.com/jobs/view/cas-analista-de-seguran%C3%A7a-da-informa%C3%A7%C3%A3o-jr-at-sicredi-4292964346,LinkedIN,2025-09-06
Cyber Security Analyst,InterEx Group,United States,https://www.linkedin.com/jobs/view/cyber-security-analyst-at-interex-group-4285543910,LinkedIN,2025-09-06
Cyber Security Specialist,Vantage Point Solutions,United States,https://www.linkedin.com/jobs/view/cyber-security-specialist-at-vantage-point-solutions-4294750674,LinkedIN,2025-09-06
Cyber Security Engineer,PBG,United States,https://www.linkedin.com/jobs/view/cyber-security-engineer-at-pbg-4295947106,LinkedIN,2025-09-06
Cyber Security Analyst,Soho Square Solutions,United States,https://www.linkedin.com/jobs/view/cyber-security-analyst-at-soho-square-solutions-4289874282,LinkedIN,2025-09-06
Threat Analyst 2,Sophos,Canada,https://ca.linkedin.com/jobs/view/threat-analyst-2-at-sophos-4295951271,LinkedIN,2025-09-06
Associate Security Analyst,Bitdefender,Indonesia,https://id.linkedin.com/jobs/view/associate-security-analyst-at-bitdefender-4291231331,LinkedIN,2025-09-06
"Senior Manager, Information Security Technical Program Management",Netflix,United States,https://www.linkedin.com/jobs/view/senior-manager-information-security-technical-program-management-at-netflix-4247968205,LinkedIN,2025-09-06
Director of Information Security - Governance Risk and Compliance,Fanatics,United States,https://www.linkedin.com/jobs/view/director-of-information-security-governance-risk-and-compliance-at-fanatics-4285078950,LinkedIN,2025-09-06
Security Operations Analyst [Remote-US],Quanata,United States,https://www.linkedin.com/jobs/view/security-operations-analyst-remote-us-at-quanata-4285737132,LinkedIN,2025-09-06
Detection and Response Analyst,"Toyota Tsusho Systems US, Inc.","Plano, TX",https://www.linkedin.com/jobs/view/detection-and-response-analyst-at-toyota-tsusho-systems-us-inc-4288497236,LinkedIN,2025-09-06
Penetration Tester - Part time & Remote,Lensa,United States,https://www.linkedin.com/jobs/view/penetration-tester-part-time-remote-at-lensa-4288669687,LinkedIN,2025-09-06
AI SOC Analyst,Pulivarthi Group (PG),United States,https://www.linkedin.com/jobs/view/ai-soc-analyst-at-pulivarthi-group-pg-4234402563,LinkedIN,2025-09-06
Don't See What You're Looking For?,NeuroFlow,"Philadelphia, PA",https://www.linkedin.com/jobs/view/don-t-see-what-you-re-looking-for%3F-at-neuroflow-4068290102,LinkedIN,2025-09-06
IT Security Analyst,Argyll Infotech Enterprise Pvt Ltd,United States,https://www.linkedin.com/jobs/view/it-security-analyst-at-argyll-infotech-enterprise-pvt-ltd-4261988959,LinkedIN,2025-09-06
SOC Analyst - Remote,Lensa,"Reston, VA",https://www.linkedin.com/jobs/view/soc-analyst-remote-at-lensa-4287295363,LinkedIN,2025-09-06
Insider Risk Program Analyst- 100% Remote,"The Dignify Solutions, LLC","New York, NY",https://www.linkedin.com/jobs/view/insider-risk-program-analyst-100%25-remote-at-the-dignify-solutions-llc-4284762443,LinkedIN,2025-09-06
